Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label
1RXS J160929.1-210524 b,18.647,2543.0,330.0,4060.0,0
2MASS J02192210-3925225 b,16.14096,4417.837,156.0,3064.0,0
55 Cnc e,1.91,8.08,0.01544,5250.0,0
55 Cnc e,1.92,8.08,0.01544,5250.0,0
55 Cnc e,2.173,8.37,0.01583,5250.0,0
55 Cnc e,2.08,7.81,0.01544,5234.0,0
55 Cnc e,1.875,7.99,0.01544,5172.0,0
AU Mic b,4.203375,57.2094,0.066,3700.0,0
AU Mic b,4.07,17.0,0.0645,3700.0,0
AU Mic c,3.24,13.6,0.1101,3700.0,0
BD+20 594 b,2.23,16.3,0.241,5766.0,0
BD+60 1417 b,14.68376472,4767.426105,1662.0,4993.0,0
BD-14 3065 b,21.59,3932.0,0.0656,6935.0,0
CFHTWIR-Oph 98 b,20.8487041,2479.0615746,200.0,2320.0,0
COCONUTS-2 b,12.44196858,2002.3189641,7506.0,3406.0,0
CoRoT-1 b,19.223435,390.9309,0.02752,6298.0,0
CoRoT-1 b,15.91678,340.0781,0.0259,5950.0,0
CoRoT-1 b,17.385159,327.3649,0.02536,5950.0,0
CoRoT-1 b,16.58932,359.1479,0.0261,5950.0,0
CoRoT-10 b,10.87273,867.6759,0.1055,5075.0,0
CoRoT-10 b,10.87,874.0,0.1055,5075.0,0
CoRoT-10 b,10.547669,883.5674,0.106,5075.0,0
CoRoT-11 b,16.02887,832.7146,0.04407,6440.0,0
CoRoT-11 b,15.984034,743.7222,0.044,6440.0,0
CoRoT-11 b,16.03,740.51,0.0436,6440.0,0
CoRoT-12 b,16.14096,290.81445,0.04013,5675.0,0
CoRoT-12 b,16.14,291.438,0.04016,5675.0,0
CoRoT-12 b,15.13215,281.91521,0.0394,5675.0,0
CoRoT-13 b,9.92,415.704,0.051,5945.0,0
CoRoT-13 b,14.033668,416.99296,0.051,5945.0,0
CoRoT-13 b,9.919965,423.03173,0.05107,5945.0,0
CoRoT-14 b,11.410762,2437.7561,0.02687,6035.0,0
CoRoT-14 b,12.22,2415.4,0.027,6035.0,0
CoRoT-14 b,12.21781,2358.2986,0.02691,6040.0,0
CoRoT-16 b,13.11,170.032,0.0618,5650.0,0
CoRoT-16 b,13.11453,168.13207,0.0618,5650.0,0
CoRoT-17 b,11.43318,765.9703,0.0481,5740.0,0
CoRoT-17 b,11.287463,781.8618,0.0481,5740.0,0
CoRoT-17 b,11.43,772.29,0.0461,5740.0,0
CoRoT-18 b,14.68379,1099.6918,0.0295,5440.0,0
CoRoT-18 b,14.68,1102.82,0.0295,5440.0,0
CoRoT-18 b,14.022459,1039.3041,0.0286,5440.0,0
CoRoT-19 b,14.46,352.78,0.0518,6090.0,0
CoRoT-19 b,14.45961,367.09365,0.05166,6090.0,0
CoRoT-19 b,13.33871,346.4347,0.0512,6090.0,0
CoRoT-2 b,16.47723,1150.5446,0.02854,5696.0,0
CoRoT-2 b,16.36514,1134.6531,0.02835,5598.0,0
CoRoT-2 b,16.432394,1048.839,0.0281,5625.0,0
CoRoT-2 b,16.432,1102.82,0.02798,5625.0,0
CoRoT-20 b,9.42,1347.54,0.0902,5880.0,0
CoRoT-20 b,9.41556,1344.4209,0.0901,5880.0,0
CoRoT-20 b,13.00244,1608.2198,0.0892,5880.0,0
CoRoT-21 b,14.5717,705.5826,0.0416,6200.0,0
CoRoT-21 b,14.5717,718.2958,0.0417,6200.0,0
CoRoT-22 b,4.88,12.2,0.092,5939.0,0
CoRoT-23 b,11.77,889.9,0.048,5900.0,0
CoRoT-23 b,11.76945,982.0947,0.0484,5900.0,0
CoRoT-23 b,13.22662,972.5598,0.04809,5900.0,0
CoRoT-24 b,3.7,5.7,0.056,4950.0,0
CoRoT-24 c,5.0,28.0,0.098,4950.0,0
CoRoT-25 b,12.11,85.81,0.0578,6040.0,0
CoRoT-25 b,12.10572,93.12419,0.05789,6040.0,0
CoRoT-26 b,14.12,165.26,0.0526,5590.0,0
CoRoT-26 b,14.12334,184.3414,0.0525,5590.0,0
CoRoT-27 b,11.287463,3273.649,0.0467,5900.0,0
CoRoT-27 b,11.287,3302.11,0.0476,5900.0,0
CoRoT-28 b,10.704595,152.87623,0.059,5150.0,0
CoRoT-28 b,10.704595,153.82972,0.0603,5150.0,0
CoRoT-29 b,10.0881,270.1555,0.0386,5260.0,0
CoRoT-29 b,10.0881,266.9772,0.039,5260.0,0
CoRoT-3 b,11.623733,6979.5468,0.05783,6740.0,0
CoRoT-3 b,11.32109,6814.2752,0.0574,6740.0,0
CoRoT-30 b,11.309881,921.707,0.0844,5650.0,0
CoRoT-31 b,16.36514,266.9772,0.0586,5700.0,0
CoRoT-32 b,6.38913,47.6745,0.071,5970.0,0
CoRoT-35 b,18.83108758,349.6112477,0.0429,6390.0,0
CoRoT-36 b,15.80466279,216.12331676,0.066,6730.0,0
CoRoT-4 b,13.34,228.83,0.09,6190.0,0
CoRoT-4 b,13.00244,232.33373,0.0912,6190.0,0
CoRoT-4 b,13.33871,223.43449,0.09025,6190.0,0
CoRoT-5 b,15.558092,151.92274,0.04963,6100.0,0
CoRoT-5 b,13.249038,149.3801,0.05004,6100.0,0
CoRoT-5 b,15.558,148.42,0.04947,6100.0,0
CoRoT-6 b,13.282665,940.7768,0.0855,6090.0,0
CoRoT-6 b,13.068,940.74,0.0855,6090.0,0
CoRoT-6 b,13.069694,937.5985,0.0854,6090.0,0
CoRoT-7 b,1.68,21.0,0.0172,5275.0,0
CoRoT-7 b,1.860694,6.99226,0.0169,5250.0,0
CoRoT-7 b,1.585,5.74,0.017016,5259.0,0
CoRoT-8 b,6.39,69.92,0.063,5080.0,0
CoRoT-8 b,6.38913,69.28694,0.06339,5080.0,0
CoRoT-8 b,7.980808,68.65128,0.0633,5080.0,0
CoRoT-9 b,11.77,266.97,0.407,5625.0,0
CoRoT-9 b,11.948794,268.88418,0.4029,5625.0,0
CoRoT-9 b,11.948794,266.9772,0.4021,5625.0,0
CoRoT-9 b,11.623733,262.52758,0.4027,5625.0,0
EPIC 201595106 b,1.565,7.67,0.0177,5679.0,0
EPIC 211945201 b,6.12,27.0,0.148,6025.0,0
EPIC 220674823 b,1.82,9.0,0.01312,5496.0,0
EPIC 220674823 b,1.676,7.8,0.01314,5578.0,0
EPIC 220674823 b,1.52,8.36,0.0116,5470.0,0
EPIC 220674823 b,1.725,8.21,0.01326,5532.0,0
EPIC 220674823 c,2.84,7.32,0.1073,5578.0,0
EPIC 220674823 c,2.5,5.8,0.105,5470.0,0
EPIC 220674823 c,2.77,5.7,0.1071,5496.0,0
EPIC 220674823 c,2.836,8.9,0.1083,5532.0,0
EPIC 229004835 b,2.332,10.4,0.1237,5868.0,0
EPIC 246851721 b,11.780659,953.49,0.07229,6202.0,0
EPIC 248847494 b,12.44199,4131.79,4.5,4898.0,0
EPIC 249893012 b,1.95,8.75,0.047,5430.0,0
EPIC 249893012 c,3.67,14.67,0.13,5430.0,0
EPIC 249893012 d,3.94,10.18,0.22,5430.0,0
G 9-40 b,2.025,11.7,0.0385,3348.0,0
G 9-40 b,1.9,4.0,0.0418,3395.0,0
GJ 1132 b,1.19151465,1.83704819,0.0157,3229.0,0
GJ 1132 b,1.13,1.66,0.0153,3270.0,0
GJ 1214 b,2.742,8.17,0.0149,3250.0,0
GJ 1214 b,2.847086,6.261251,0.01411,3026.0,0
GJ 1214 b,2.733,8.41,0.01505,3101.0,0
GJ 1252 b,1.193,2.09,0.00916,3458.0,0
GJ 1252 b,1.18,1.32,0.00915,3458.0,0
GJ 143 b,2.61,22.7,0.1915,4640.0,0
GJ 3090 b,2.13,3.34,0.03165,3556.0,0
GJ 3470 b,3.88,13.73,0.031,3652.0,0
GJ 3470 b,4.83,13.9,0.03557,3600.0,0
GJ 3470 b,4.57,13.9,0.0355,3600.0,0
GJ 3470 b,4.2,14.0,0.0348,3600.0,0
GJ 3473 b,1.264,1.86,0.01589,3347.0,0
GJ 357 b,1.217,1.84,0.035,3505.0,0
GJ 367 b,0.718,0.546,0.0071,3522.0,0
GJ 367 b,0.699,0.633,0.00709,3522.0,0
GJ 3929 b,1.15,1.21,0.02569,3369.0,0
GJ 3929 b,1.09,1.75,0.0252,3384.0,0
GJ 414 A b,2.63,7.6,0.2324,4120.0,0
GJ 414 A c,8.4,53.83,1.4,4120.0,0
GJ 436 b,4.2224,23.1688,0.02872,3350.0,0
GJ 436 b,4.1910451,23.138024,0.03109,3350.0,0
GJ 436 b,4.1,25.4,0.0308,3416.0,0
GJ 436 b,4.091285,23.424071,0.02887,3500.0,0
GJ 486 b,1.289,2.77,0.01714,3317.0,0
GJ 486 b,1.343,3.0,0.01713,3291.0,0
GJ 486 b,1.305,2.82,0.01734,3340.0,0
GJ 806 b,1.331,1.9,0.01406,3600.0,0
GJ 9827 b,1.577,4.91,0.0188,4340.0,0
GJ 9827 b,1.577,5.14,0.0188,4305.0,0
GJ 9827 b,1.44,4.28,0.0189,4236.0,0
GJ 9827 b,1.62,3.42,0.01888,4269.0,0
GJ 9827 b,1.58,3.69,0.0206,4219.0,0
GJ 9827 c,1.24,1.45,0.0429,4219.0,0
GJ 9827 c,1.13,1.86,0.0395,4236.0,0
GJ 9827 c,1.241,1.3,0.03925,4305.0,0
GJ 9827 c,1.269,2.42,0.03942,4269.0,0
GJ 9827 c,1.241,0.84,0.03925,4340.0,0
GJ 9827 d,2.022,3.53,0.0559,4305.0,0
GJ 9827 d,2.04,2.35,0.0611,4219.0,0
GJ 9827 d,2.022,4.04,0.05591,4340.0,0
GJ 9827 d,2.07,5.2,0.05615,4269.0,0
GJ 9827 d,1.89,3.02,0.0563,4236.0,0
GJ 9827 d,1.98,3.02,0.053,4236.0,0
GPX-1 b,16.47720163,6261.2196179,0.0338,7000.0,0
Gaia-1 b,13.77583728,533.95172376,0.04047,5470.0,0
Gaia-2 b,14.81827249,259.66580852,0.0467,5720.0,0
Gliese 12 b,0.9,10.0,0.067,3253.0,0
Gliese 12 b,0.958,3.87,0.0668,3296.0,0
HAT-P-1 b,14.784671,166.86075,0.05561,5980.0,0
HAT-P-1 b,15.24424,168.4499,0.0551,5975.0,0
HAT-P-1 b,14.784671,168.13207,0.05561,5980.0,0
HAT-P-1 b,13.921578,166.86075,0.0553,5980.0,0
HAT-P-1 b,13.641353,166.54292,0.05535,5975.0,0
HAT-P-1 b,13.921578,169.08556,0.0553,5975.0,0
HAT-P-11 b,4.449973,26.69772,0.05259,4780.0,0
HAT-P-11 b,4.73,25.743,0.053,4780.0,0
HAT-P-11 b,4.901,25.0,0.0532,4780.0,0
HAT-P-11 b,4.36,23.4,0.05254,4780.0,0
HAT-P-12 b,10.749,67.059,0.0384,4650.0,0
HAT-P-12 b,10.749431,66.235772,0.03838,4650.0,0
HAT-P-12 b,10.301071,63.88383,0.03767,4665.0,0
HAT-P-13 b,16.667783,287.95398,0.0431,5653.0,0
HAT-P-13 b,14.359,271.098,0.0427,5653.0,0
HAT-P-13 b,14.358729,280.64389,0.0427,5653.0,0
HAT-P-14 b,13.663771,721.79193,0.06108,6600.0,0
HAT-P-14 b,13.4508,724.6524,0.0596,6583.0,0
HAT-P-14 b,12.89,709.367,0.0606,6600.0,0
HAT-P-14 b,12.89035,731.96249,0.06062,6600.0,0
HAT-P-15 b,12.016048,619.45067,0.0965,5568.0,0
HAT-P-15 b,12.016,618.471,0.0964,5568.0,0
HAT-P-16 b,14.448401,1341.56043,0.04134,6158.0,0
HAT-P-16 b,14.448,1332.605,0.0413,6158.0,0
HAT-P-16 b,13.33871,1331.38987,0.0413,6158.0,0
HAT-P-17 b,11.32109,170.67471,0.0882,5246.0,0
HAT-P-17 b,11.321,169.71,0.0882,5246.0,0
HAT-P-18 b,11.153,62.61,0.0559,4803.0,0
HAT-P-18 b,10.614923,62.29468,0.0559,4870.0,0
HAT-P-18 b,11.152955,63.566,0.05596,4803.0,0
HAT-P-19 b,12.688588,90.26372,0.04664,4990.0,0
HAT-P-19 b,12.689,92.802,0.0466,4990.0,0
HAT-P-19 b,11.29865255,88.03846874,0.04599,4962.0,0
HAT-P-2 b,12.3,2828.6,0.068,6300.0,0
HAT-P-2 b,11.007238,2873.1832,0.0677,6290.0,0
HAT-P-2 b,12.969,2888.95,0.06878,6290.0,0
HAT-P-2 b,11.242627,2771.4776,0.0679,6290.0,0
HAT-P-2 b,12.968813,2765.121,0.0688,6290.0,0
HAT-P-2 b,13.33871,2777.8342,0.0674,6290.0,0
HAT-P-20 b,9.75,2320.1,0.036,4600.0,0
HAT-P-20 b,9.718203,2310.6241,0.03617,4595.0,0
HAT-P-20 b,11.489225,2294.7326,0.03593,4595.0,0
HAT-P-20 b,9.718,2302.899,0.0361,4595.0,0
HAT-P-21 b,11.478,1291.289,0.0494,5588.0,0
HAT-P-21 b,11.478016,1261.7851,0.0495,5588.0,0
HAT-P-22 b,12.10572,682.69884,0.0414,5302.0,0
HAT-P-22 b,12.10572,690.32676,0.04142,5302.0,0
HAT-P-22 b,11.88154,696.68336,0.04171,5314.0,0
HAT-P-22 b,12.106,682.352,0.0414,5302.0,0
HAT-P-23 b,15.333912,626.1251,0.0232,5905.0,0
HAT-P-23 b,15.334,664.237,0.0232,5905.0,0
HAT-P-23 b,13.72,658.0,0.02302,5885.0,0
HAT-P-24 b,13.921578,229.79109,0.04651,6373.0,0
HAT-P-24 b,13.922,217.704,0.0465,6373.0,0
HAT-P-24 b,14.751044,217.71355,0.0465,6373.0,0
HAT-P-25 b,13.33871,180.20961,0.04659,5500.0,0
HAT-P-25 b,12.722215,180.84527,0.0466,5519.0,0
HAT-P-25 b,13.339,180.202,0.0466,5500.0,0
HAT-P-26 b,6.333,18.751,0.0479,5079.0,0
HAT-P-27 b,11.43318,195.78328,0.03998,5190.0,0
