Planet Name,Planet Radius (Earth),Planet Mass (Earth),Orbital Distance (AU),Star Temperature (K),Habitability Label,Text Description
1RXS J160929.1-210524 b,18.647,2543.0,330.0,4060.0,0,"1RXS J160929.1-210524 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a very distant orbit far from its star around a relatively cool, Sun-like star. Numerically, it has a radius of 18.65 Earth radii, a mass of 2543.00 Earth masses, an orbital distance of 330.00 AU, and its star's effective temperature is 4060 K."
2MASS J02192210-3925225 b,16.14096,4417.837,156.0,3064.0,0,"2MASS J02192210-3925225 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a very distant orbit far from its star around a cool, red star. Numerically, it has a radius of 16.14 Earth radii, a mass of 4417.84 Earth masses, an orbital distance of 156.00 AU, and its star's effective temperature is 3064 K."
55 Cnc e,1.91,8.08,0.01544,5250.0,0,"55 Cnc e is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.91 Earth radii, a mass of 8.08 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5250 K."
55 Cnc e,1.92,8.08,0.01544,5250.0,0,"55 Cnc e is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.92 Earth radii, a mass of 8.08 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5250 K."
55 Cnc e,2.173,8.37,0.01583,5250.0,0,"55 Cnc e is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 2.17 Earth radii, a mass of 8.37 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5250 K."
55 Cnc e,2.08,7.81,0.01544,5234.0,0,"55 Cnc e is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 2.08 Earth radii, a mass of 7.81 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5234 K."
55 Cnc e,1.875,7.99,0.01544,5172.0,0,"55 Cnc e is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 1.88 Earth radii, a mass of 7.99 Earth masses, an orbital distance of 0.02 AU, and its star's effective temperature is 5172 K."
AU Mic b,4.203375,57.2094,0.066,3700.0,0,"AU Mic b is a Neptune-sized planet with a very massive planet. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 4.20 Earth radii, a mass of 57.21 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 3700 K."
AU Mic b,4.07,17.0,0.0645,3700.0,0,"AU Mic b is a Neptune-sized planet with significantly more massive than Earth. It orbits very close to its star around a relatively cool, Sun-like star. Numerically, it has a radius of 4.07 Earth radii, a mass of 17.00 Earth masses, an orbital distance of 0.06 AU, and its star's effective temperature is 3700 K."
AU Mic c,3.24,13.6,0.1101,3700.0,0,"AU Mic c is a Neptune-sized planet with significantly more massive than Earth. It orbits in a close-in orbit around its star around a relatively cool, Sun-like star. Numerically, it has a radius of 3.24 Earth radii, a mass of 13.60 Earth masses, an orbital distance of 0.11 AU, and its star's effective temperature is 3700 K."
BD+20 594 b,2.23,16.3,0.241,5766.0,0,"BD+20 594 b is a super-Earth or mini-Neptune with significantly more massive than Earth. It orbits in a close-in orbit around its star around a warmer, F-type star. Numerically, it has a radius of 2.23 Earth radii, a mass of 16.30 Earth masses, an orbital distance of 0.24 AU, and its star's effective temperature is 5766 K."
BD+60 1417 b,14.68376472,4767.426105,1662.0,4993.0,0,"BD+60 1417 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a very distant orbit far from its star around a relatively cool, Sun-like star. Numerically, it has a radius of 14.68 Earth radii, a mass of 4767.43 Earth masses, an orbital distance of 1662.00 AU, and its star's effective temperature is 4993 K."
BD-14 3065 b,21.59,3932.0,0.0656,6935.0,0,"BD-14 3065 b is a gas giant much larger than Earth with an extremely massive planet. It orbits very close to its star around a warmer, F-type star. Numerically, it has a radius of 21.59 Earth radii, a mass of 3932.00 Earth masses, an orbital distance of 0.07 AU, and its star's effective temperature is 6935 K."
CFHTWIR-Oph 98 b,20.8487041,2479.0615746,200.0,2320.0,0,"CFHTWIR-Oph 98 b is a gas giant much larger than Earth with an extremely massive planet. It orbits in a very distant orbit far from its star around a cool, red star. Numerically, it has a radius of 20.85 Earth radii, a mass of 2479.06 Earth masses, an orbital distance of 200.00 AU, and its star's effective temperature is 2320 K."
